epoch,learning_rate,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,9.999999747378752e-06,0.3579673767089844,0.4088922441005707,0.33460089564323425,0.12939885258674622,0.26834893226623535,0.10610362142324448
1,9.999999747378752e-06,0.07403070479631424,0.17651526629924774,0.05086781084537506,0.11670508235692978,0.2621215581893921,0.09370335191488266
2,9.999999747378752e-06,0.06260455399751663,0.15559910237789154,0.039827026426792145,0.11214327067136765,0.25927621126174927,0.08961755037307739
3,9.999999747378752e-06,0.05819351226091385,0.1476765125989914,0.03597249835729599,0.10582976043224335,0.25159376859664917,0.08392739295959473
4,9.999999747378752e-06,0.055854737758636475,0.1442224085330963,0.03429928421974182,0.10151223093271255,0.24626797437667847,0.08031065762042999
5,9.999999747378752e-06,0.05417788401246071,0.14212805032730103,0.033351026475429535,0.09726403653621674,0.24064619839191437,0.07680817693471909
6,9.999999747378752e-06,0.052768658846616745,0.14082661271095276,0.03269225358963013,0.09646608680486679,0.24062304198741913,0.07676318287849426
7,9.999999747378752e-06,0.05155232176184654,0.13976334035396576,0.03222741559147835,0.09216541051864624,0.23440811038017273,0.07321120798587799
8,9.999999747378752e-06,0.0503421276807785,0.13872063159942627,0.03175964206457138,0.09179756790399551,0.23530568182468414,0.0735795795917511
9,9.999999747378752e-06,0.04929023236036301,0.13801513612270355,0.031437233090400696,0.09014437347650528,0.23379452526569366,0.07264508306980133
10,9.999999747378752e-06,0.04833070933818817,0.13751372694969177,0.031180065125226974,0.08955813944339752,0.2338792234659195,0.07274478673934937
11,9.999999747378752e-06,0.047413527965545654,0.13696883618831635,0.030931979417800903,0.08889540284872055,0.23348137736320496,0.07273197174072266
12,9.999999747378752e-06,0.04647563397884369,0.13627822697162628,0.030625998973846436,0.08996022492647171,0.23602741956710815,0.074412502348423
13,9.999999747378752e-06,0.04567449167370796,0.13581061363220215,0.030420459806919098,0.09192434698343277,0.23961611092090607,0.07695470750331879
14,9.999999747378752e-06,0.0448651984333992,0.13536615669727325,0.03017105720937252,0.09176156669855118,0.23989522457122803,0.07733440399169922
15,1.9999999949504854e-06,0.04787294939160347,0.1435871422290802,0.03348739445209503,0.08623190224170685,0.22730523347854614,0.07188420742750168
16,1.9999999949504854e-06,0.04745784401893616,0.14233693480491638,0.03314971551299095,0.08594182133674622,0.22647497057914734,0.07167188823223114
17,1.9999999949504854e-06,0.04721022769808769,0.14184635877609253,0.03297972306609154,0.08631565421819687,0.22729246318340302,0.07212360203266144
18,1.9999999949504854e-06,0.04702639952301979,0.14160551130771637,0.032874297350645065,0.0858360156416893,0.22656400501728058,0.07172288745641708
19,1.9999999949504854e-06,0.04685330390930176,0.14142492413520813,0.032779548317193985,0.08571760356426239,0.22633527219295502,0.07168228924274445
20,1.9999999949504854e-06,0.046704597771167755,0.14126265048980713,0.032708391547203064,0.08568377792835236,0.2263566553592682,0.07172559946775436
21,1.9999999949504854e-06,0.04654456302523613,0.1410689502954483,0.032625652849674225,0.0850958526134491,0.22536446154117584,0.07121501863002777
22,1.9999999949504854e-06,0.04638521000742912,0.14094482362270355,0.03254326060414314,0.08538346737623215,0.22591619193553925,0.07157907634973526
23,1.9999999949504854e-06,0.04625595733523369,0.1407952606678009,0.03249036893248558,0.08559748530387878,0.22623145580291748,0.0718691498041153
24,1.9999999949504854e-06,0.04606904089450836,0.14059041440486908,0.03237918019294739,0.08541819453239441,0.22587087750434875,0.07176589220762253
25,4.0000000467443897e-07,0.047288183122873306,0.14514414966106415,0.03364245221018791,0.07942790538072586,0.2125542163848877,0.06578843295574188
