epoch,learning_rate,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,9.999999747378752e-06,0.628258466720581,0.6023751497268677,0.5842902660369873,0.1429995894432068,0.250176340341568,0.09913060814142227
1,9.999999747378752e-06,0.24797478318214417,0.34805187582969666,0.20427824556827545,0.11421839147806168,0.2183312624692917,0.07073654234409332
2,9.999999747378752e-06,0.18322989344596863,0.28858205676078796,0.1400725096464157,0.11148645728826523,0.22247184813022614,0.06871404498815536
3,9.999999747378752e-06,0.14578641951084137,0.24962204694747925,0.10353744029998779,0.10903604328632355,0.222624272108078,0.06738336384296417
4,9.999999747378752e-06,0.1210491806268692,0.22083285450935364,0.08014828711748123,0.10773241519927979,0.2240356206893921,0.06765584647655487
5,9.999999747378752e-06,0.10490371286869049,0.20093651115894318,0.06578212976455688,0.10443104803562164,0.22157064080238342,0.06632654368877411
6,9.999999747378752e-06,0.09385015815496445,0.18724103271961212,0.056846532970666885,0.10359619557857513,0.22418789565563202,0.06773938238620758
7,9.999999747378752e-06,0.08540996164083481,0.17700931429862976,0.050722286105155945,0.10205448418855667,0.2258354127407074,0.0685657486319542
8,9.999999747378752e-06,0.07905750721693039,0.16997811198234558,0.04673920199275017,0.10011743009090424,0.22662648558616638,0.06898470222949982
9,9.999999747378752e-06,0.07374024391174316,0.16438135504722595,0.043733611702919006,0.09865541011095047,0.22827041149139404,0.06978651136159897
10,9.999999747378752e-06,0.0693911463022232,0.16033773124217987,0.04157591238617897,0.09672306478023529,0.22866716980934143,0.06996680051088333
11,9.999999747378752e-06,0.06559506803750992,0.15675415098667145,0.03979937359690666,0.09452955424785614,0.22828373312950134,0.06970075517892838
12,9.999999747378752e-06,0.06243521347641945,0.1541479378938675,0.03847986087203026,0.09217235445976257,0.22690045833587646,0.06910340487957001
13,9.999999747378752e-06,0.05958506837487221,0.15171600878238678,0.037302423268556595,0.09117396920919418,0.2277449369430542,0.06968547403812408
14,9.999999747378752e-06,0.05714217573404312,0.14970999956130981,0.03635334223508835,0.0892530158162117,0.22669801115989685,0.06917181611061096
15,9.999999747378752e-06,0.05495384708046913,0.14789599180221558,0.03549951687455177,0.08807139843702316,0.22689345479011536,0.06925152987241745
16,9.999999747378752e-06,0.05312309414148331,0.14659106731414795,0.0348670594394207,0.08629141002893448,0.22585636377334595,0.06860747933387756
17,9.999999747378752e-06,0.051420729607343674,0.14520885050296783,0.03424423933029175,0.08537796884775162,0.2259906679391861,0.06871785968542099
18,9.999999747378752e-06,0.049865689128637314,0.1439502239227295,0.03366285189986229,0.08484584093093872,0.22713376581668854,0.06910927593708038
19,9.999999747378752e-06,0.048515431582927704,0.14290235936641693,0.0331946425139904,0.08384165912866592,0.22739768028259277,0.06894372403621674
20,9.999999747378752e-06,0.04725978523492813,0.14189063012599945,0.03273766115307808,0.08310894668102264,0.22725774347782135,0.06897051632404327
21,9.999999747378752e-06,0.046137407422065735,0.14098405838012695,0.03234412521123886,0.08226951956748962,0.22751647233963013,0.06882917881011963
22,9.999999747378752e-06,0.045120563358068466,0.1403382569551468,0.03199998289346695,0.0813569724559784,0.22704008221626282,0.0685630515217781
23,9.999999747378752e-06,0.044169846922159195,0.13954105973243713,0.0316690169274807,0.08184542506933212,0.2291409969329834,0.06964446604251862
24,9.999999747378752e-06,0.04334864765405655,0.13898172974586487,0.03141766041517258,0.08178947865962982,0.23044642806053162,0.07013624161481857
25,9.999999747378752e-06,0.04251161962747574,0.13827058672904968,0.031109780073165894,0.08220231533050537,0.23144090175628662,0.0710587352514267
26,1.9999999949504854e-06,0.04500625282526016,0.14571045339107513,0.033903978765010834,0.07659909874200821,0.22077347338199615,0.06553967297077179
27,1.9999999949504854e-06,0.044886514544487,0.14474104344844818,0.03386717289686203,0.07629581540822983,0.21973490715026855,0.06531865894794464
28,1.9999999949504854e-06,0.04472649469971657,0.14422176778316498,0.033788494765758514,0.07630131393671036,0.21954265236854553,0.06540486961603165
29,1.9999999949504854e-06,0.044586971402168274,0.14405079185962677,0.0337291955947876,0.07640711963176727,0.2197733223438263,0.06559009850025177
30,1.9999999949504854e-06,0.04443825036287308,0.14390747249126434,0.03365948051214218,0.07622751593589783,0.21934951841831207,0.06548894196748734
31,4.0000000467443897e-07,0.04491729289293289,0.14478729665279388,0.03418558090925217,0.07469648867845535,0.2141643911600113,0.0639721155166626
32,4.0000000467443897e-07,0.04478275775909424,0.14458583295345306,0.0340656042098999,0.07469157874584198,0.2136262059211731,0.06398186087608337
33,4.0000000467443897e-07,0.04470290616154671,0.14450137317180634,0.03400019556283951,0.07472597062587738,0.21348942816257477,0.06403086334466934
34,4.0000000467443897e-07,0.044658493250608444,0.14444884657859802,0.033970460295677185,0.07479464262723923,0.2135809361934662,0.06411407142877579
35,1.0000000116860974e-07,0.04466422647237778,0.14432157576084137,0.033985305577516556,0.07505783438682556,0.2138736993074417,0.06438081711530685
36,1.0000000116860974e-07,0.04466704651713371,0.14436078071594238,0.03399190306663513,0.07512472569942474,0.21392010152339935,0.06445141136646271
37,1.0000000116860974e-07,0.044659994542598724,0.14434173703193665,0.03398846834897995,0.07530265301465988,0.21423214673995972,0.06463288515806198
