fold,val_loss,val_mae,val_mse
1,0.051716148853302,0.17138005793094635,0.04612240567803383
2,0.056596074253320694,0.1833077371120453,0.04848376661539078
3,0.07252981513738632,0.1997360736131668,0.06264158338308334
